티커,종목명,현재가($),수익률(%)
WPM,Wheaton Precious Metals Corp Common Shares (Canada),140.23,15.9
MOS,Mosaic Company (The) Common Stock,28.82,15.88
CCS,Century Communities Inc. Common Stock,68.81,15.88
RCAT,Red Cat Holdings Inc. Common Stock,12.63,15.87
HLMN,Hillman Solutions Corp. Common Stock,10.74,15.86
ERIC,Ericsson American Depositary Shares,11.05,15.83
SIFY,Sify Technologies Limited American Depositary Shares,14.51,15.8
VOD,Vodafone Group Plc American Depositary Shares,15.71,15.77
STLD,Steel Dynamics Inc.,198.88,15.74
MO,Altria Group Inc.,65.16,15.74
LECO,Lincoln Electric Holdings Inc. Common Shares,285.82,15.72
GBCI,Glacier Bancorp Inc. Common Stock,53.19,15.71
ITW,Illinois Tool Works Inc. Common Stock,288.8,15.71
WMK,Weis Markets Inc. Common Stock,73.98,15.68
NHC,National HealthCare Corporation Common Stock,151.45,15.67
PFS,Provident Financial Services Inc Common Stock,23.3,15.63
BCH,Banco De Chile ADS,45.38,15.62
GT,The Goodyear Tire & Rubber Company Common Stock,10.22,15.61
CRI,Carter's Inc. Common Stock,38.46,15.6
OR,OR Royalties Inc. Common Shares,41.07,15.59
TALO,Talos Energy Inc. Common Stock,12.32,15.57
PLPC,Preformed Line Products Company Common Stock,260.51,15.57
ADI,Analog Devices Inc. Common Stock,320.44,15.56
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2.9,15.54
UPBD,Upbound Group Inc. Common Stock,20.38,15.53
UWMC,UWM Holdings Corporation Class A Common Stock,5.14,15.51
SNEX,StoneX Group Inc. Common Stock,117.37,15.49
SLGN,Silgan Holdings Inc. Common Stock,47.97,15.48
TILE,Interface Inc. Common Stock,33.3,15.46
ATMU,Atmus Filtration Technologies Inc. Common Stock,61.19,15.45
USFD,US Foods Holding Corp. Common Stock,87.82,15.45
ALB,Albemarle Corporation Common Stock,168.66,15.42
MATV,Mativ Holdings Inc. Common Stock,13.79,15.4
MTX,Minerals Technologies Inc. Common Stock,71.55,15.35
DINO,HF Sinclair Corporation Common Stock,56.83,15.34
ORLA,Orla Mining Ltd. Common Shares,15.96,15.32
MDLN,Medline Inc. Class A Common Stock,44.97,15.31
ARCO,Arcos Dorados Holdings Inc. Class A Shares,8.9,15.28
VNOM,Viper Energy Inc. Class A Common Stock,42.59,15.23
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),8.49,15.2
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),3.49,15.18
LASR,nLIGHT Inc. Common Stock,43.86,15.15
SMBK,SmartFinancial Inc. Common Stock,42.61,15.13
NTR,Nutrien Ltd. Common Shares,71.5,15.12
